group,nearest_tanimoto,id
Evaluation,0.61904764,13775
Evaluation,0.6956522,13783
Evaluation,0.59090906,13787
Evaluation,0.6666667,13788
Evaluation,0.35714287,13830
Evaluation,0.57894737,13838
Evaluation,0.625,13844
Evaluation,0.6363636,13859
Evaluation,0.6315789,13901
Evaluation,0.65217394,13909
Evaluation,0.56,13918
Evaluation,0.625,13951
Evaluation,0.6666667,13967
Evaluation,0.47619048,13969
Evaluation,0.53846157,13980
Evaluation,0.64,14019
Evaluation,0.5263158,14074
Evaluation,0.72727275,14081
Evaluation,0.57894737,14087
Evaluation,0.40625,14125
Evaluation,0.64285713,14133
Evaluation,0.4375,14137
Evaluation,0.5217391,14142
Evaluation,0.5555556,14151
Evaluation,1.0,14167
Evaluation,0.65,14184
Evaluation,0.65217394,14193
Evaluation,0.65217394,14261
Evaluation,0.68,14285
Evaluation,0.6363636,14287
Evaluation,0.7,14303
Evaluation,0.65384614,14331
Evaluation,0.6,14336
Evaluation,0.6296296,14337
Evaluation,0.5,14349
Evaluation,0.64285713,14389
Evaluation,0.6666667,14398
Evaluation,0.65384614,14399
Evaluation,0.65384614,14466
Evaluation,0.68,14503
Evaluation,0.75,14507
Evaluation,0.5652174,14551
Evaluation,0.6923077,14564
Evaluation,0.65217394,14566
Evaluation,0.65217394,14590
Evaluation,0.6666667,14611
Evaluation,0.6666667,14649
Evaluation,0.6666667,14659
Evaluation,0.6956522,14666
Evaluation,0.5555556,14747
Evaluation,0.47368422,14749
Evaluation,0.6666667,14751
Evaluation,1.0,14757
Evaluation,0.6315789,14766
Evaluation,0.4642857,14775
Evaluation,0.75,14786
Evaluation,0.5294118,14798
Evaluation,0.42105263,14805
Evaluation,0.47826087,14810
Evaluation,0.5555556,14856
Evaluation,0.6,14872
Evaluation,0.5714286,14887
Evaluation,0.5,14898
Evaluation,0.5555556,14918
Evaluation,0.5625,14939
Evaluation,0.5416667,14985
Evaluation,0.6666667,15019
Evaluation,0.6,15052
Evaluation,0.61538464,15053
Evaluation,1.0,15067
Evaluation,0.625,15071
Evaluation,0.64285713,15094
Evaluation,0.44827586,15123
Evaluation,0.5,15131
Evaluation,0.6086956,15137
Evaluation,0.5652174,15146
Evaluation,0.68,15147
Evaluation,0.64,15159
Evaluation,0.6666667,15213
Evaluation,0.61538464,15268
Evaluation,0.44827586,15283
Evaluation,0.61904764,15297
Evaluation,0.6956522,15313
Evaluation,0.8,15347
Evaluation,0.6818182,15349
Evaluation,0.6111111,15355
Evaluation,0.6666667,15357
Evaluation,0.71428573,15364
Evaluation,0.6111111,15373
Evaluation,0.6956522,15374
Evaluation,0.6956522,15379
Evaluation,0.6818182,15382
Evaluation,0.7083333,15409
Evaluation,0.65,15416
Evaluation,0.59090906,15424
Evaluation,0.6,15450
Evaluation,0.61904764,15453
Evaluation,0.6666667,15463
Evaluation,0.6818182,15465
Evaluation,0.73913044,15511
Evaluation,0.6,15562
Evaluation,0.6666667,15578
Evaluation,0.4090909,15588
Evaluation,0.6666667,15592
Evaluation,0.6666667,15687
Evaluation,0.6923077,15691
Evaluation,0.7037037,15694
Evaluation,0.6666667,15709
Evaluation,0.65,15784
Evaluation,0.6666667,15785
Evaluation,0.6923077,15810
Evaluation,0.7037037,15819
Evaluation,0.7037037,15833
Evaluation,0.75,15869
Evaluation,0.6,15878
Evaluation,1.0,15943
Evaluation,0.5555556,15947
Evaluation,0.56,15997
Evaluation,0.53333336,16028
Evaluation,0.53846157,16029
Evaluation,0.6086956,16036
Evaluation,0.6666667,16037
Evaluation,0.60714287,16063
Evaluation,0.53846157,16068
Evaluation,0.45454547,16070
Evaluation,0.6296296,16111
Evaluation,0.64285713,16129
Evaluation,0.6666667,16148
Evaluation,0.6551724,16157
Evaluation,0.64285713,16190
Evaluation,0.6666667,16195
Evaluation,0.64285713,16222
Evaluation,0.7894737,16226
Evaluation,0.6785714,16241
Evaluation,0.5925926,16252
Evaluation,0.625,16310
Evaluation,0.64,16324
Evaluation,0.64,16340
Evaluation,0.6666667,16345
Evaluation,0.6086956,16362
Evaluation,0.6,16370
Evaluation,0.6666667,16406
Evaluation,0.5714286,16416
Evaluation,0.8095238,16419
Evaluation,0.68,16426
Evaluation,0.61538464,16450
Evaluation,0.64,16486
Evaluation,0.65,16490
Evaluation,0.6666667,16494
Evaluation,0.64,16568
Evaluation,0.4814815,16576
Evaluation,0.4642857,16775
Evaluation,0.5555556,16825
Evaluation,0.65384614,16839
Evaluation,0.61538464,16848
Evaluation,0.4814815,16851
Evaluation,0.6666667,16870
Evaluation,0.35714287,16898
Evaluation,0.61538464,16927
Evaluation,0.53846157,16952
Evaluation,0.57894737,16984
Evaluation,0.625,16996
Evaluation,0.6086956,17010
Evaluation,0.47619048,17017
Evaluation,0.52,17071
Evaluation,0.59090906,17074
Evaluation,0.6086956,17111
Evaluation,0.72,17117
